date,close,close,close,close,close,close,close,Volume USD,CapRealUSD,0,0,1,2,3,4,5,6,TxTfrValMedUSD,TxCnt,IssContNtv,FeeTotUSD,FeeMedUSD,AdrActCnt,DiffMean,BlkCnt,BlkSizeMeanByte,TxTfrCnt,TxTfrValAdjNtv,TxTfrValAdjUSD,Friday,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday
2015-01-28,-0.10743710487792946,-0.13188948658579047,-0.06906625293220436,-0.056742013298963556,0.013511703121015017,0.013640450197561549,0.032748897891305084,27595.15,4225037073.0522184,0.16467625314810297,0.0816649636077782,0.12161635127853455,0.03778178187027183,0.04997340759820538,0.037293084835142404,0.03356194602826701,0.06622703564560815,7.661758988763061,85087.0,4100.0,2733.415268414614,0.0235735840444185,198841.0,41272873894.6972,164.0,272950.847560976,188464.0,227309.23784271,53584934.223578386,0,0,0,0,0,0,1
2015-01-29,-0.00615778567488956,-0.11359489055281902,-0.13804727226068003,-0.07522403860709392,-0.06289979897385312,0.0073539174461254575,0.007482664522671989,26178.79,4221310005.9057097,0.09597992124280585,0.09912257806376962,0.0816649636077782,0.12161635127853455,0.03778178187027183,0.04997340759820538,0.037293084835142404,0.03356194602826701,6.651934531723248,92284.0,4100.0,2924.9087745628976,0.0233957373465809,217393.0,41272873894.6972,164.0,289398.170731707,229990.0,247713.40559185,57954377.74453987,0,0,0,0,1,0,0
2015-01-30,-0.0092008780038082,-0.01535866367869776,-0.12279576855662722,-0.14724815026448823,-0.08442491661090212,-0.07210067697766132,-0.001846960557682742,19832.17,4216762603.5685062,0.0750465864814501,0.05768612874553187,0.09912257806376962,0.0816649636077782,0.12161635127853455,0.03778178187027183,0.04997340759820538,0.037293084835142404,9.15584759789596,79736.0,3450.0,2517.3951171207154,0.0228896189947399,193117.0,41272873894.6972,138.0,309093.644927536,208657.0,306621.88490479,70184581.20919633,1,0,0,0,0,0,0
2015-01-31,-0.06491692462339849,-0.07411780262720669,-0.08027558830209625,-0.1877126931800257,-0.21216507488788672,-0.1493418412343006,-0.1370176016010598,19706.27,4209837029.910165,0.08456331150815674,0.04509123909918214,0.05768612874553187,0.09912257806376962,0.0816649636077782,0.12161635127853455,0.03778178187027183,0.04997340759820538,0.5436726882685123,86631.0,4150.0,2733.4918131924533,0.0217332156049094,276120.0,41272873894.6972,166.0,313584.825301205,310378.0,249704.13689399,54268738.44554897,0,0,1,0,0,0,0
2015-02-01,-0.014695952826455638,-0.07961287744985412,-0.08881375545366232,-0.09497154112855188,-0.20240864600648134,-0.22686102771434236,-0.16403779406075625,6189.01,4209800328.960084,0.05744368608632865,0.050815740406954316,0.04509123909918214,0.05768612874553187,0.09912257806376962,0.0816649636077782,0.12161635127853455,0.03778178187027183,1.2869602554311672,78157.0,3875.0,2527.011427862386,0.0227111301285798,250290.0,41272873894.6972,155.0,299110.477419355,252524.0,194772.87044081,44235120.060982496,0,0,0,1,0,0,0
2015-02-02,0.10243725267157533,0.08774129984511969,0.022824375221721205,0.013623497217913005,0.0074657115430234455,-0.09997139333490601,-0.12442377504276703,6423.56,4209035652.680461,0.11900696177590954,0.03450794043169372,0.050815740406954316,0.04509123909918214,0.05768612874553187,0.09912257806376962,0.0816649636077782,0.12161635127853455,7.682957437755712,87190.0,3975.0,3040.212586051865,0.0240092419929866,228409.0,41272873894.6972,159.0,312260.27672956,224244.0,215723.28361201,51793525.19762429,0,1,0,0,0,0,0
2015-02-03,-0.045653935035265825,0.056783317636309505,0.04208736480985387,-0.02282955981354462,-0.03203043781735282,-0.03818822349224238,-0.14562532837017184,17756.67,4206939702.784865,0.08800034174889998,0.07155549550854252,0.03450794043169372,0.050815740406954316,0.04509123909918214,0.05768612874553187,0.09912257806376962,0.0816649636077782,8.874414438888738,91378.0,3175.0,2968.3949754695304,0.0227775695791935,241904.0,41272873894.6972,127.0,403597.228346457,237710.0,293713.03367067,66900690.60749689,0,0,0,0,0,1,0
2015-02-04,-0.0015406627896163982,-0.04719459782488222,0.05524265484669311,0.04054670202023747,-0.024370222603161018,-0.03357110060696922,-0.03972888628185878,14313.23,4204158918.3588953,0.0486896368232007,0.052883736768058805,0.07155549550854252,0.03450794043169372,0.050815740406954316,0.04509123909918214,0.05768612874553187,0.09912257806376962,10.084853849437877,88890.0,3975.0,2794.4936165412814,0.0226781134132087,228028.0,41272873894.6972,159.0,304819.132075472,229445.0,222036.42814943,50353672.99436539,0,0,0,0,0,0,1
2015-02-05,-0.045052663940943205,-0.0465933267305596,-0.09224726176582543,0.010189990905749902,-0.004505961920705737,-0.06942288654410422,-0.07862376454791242,4314.11,4199355764.951352,0.06914004247819609,0.029246885764518,0.052883736768058805,0.07155549550854252,0.03450794043169372,0.050815740406954316,0.04509123909918214,0.05768612874553187,11.617353435738444,87548.0,3975.0,2657.629531303293,0.0217011151081239,217016.0,41272873894.6972,159.0,301972.786163522,210092.0,244605.3156829,53082081.11693597,0,0,0,0,1,0,0
2015-02-06,0.02673615649103578,-0.018316507449907427,-0.019857170239523825,-0.06551110527478965,0.03692614739678568,0.022230194570330042,-0.042686730053068445,4730.33,4199254177.421067,0.04949978448764785,0.04153938017506175,0.029246885764518,0.052883736768058805,0.07155549550854252,0.03450794043169372,0.050815740406954316,0.04509123909918214,3.6748149952373694,84709.0,4425.0,2582.5181647649106,0.0222724969316189,231139.0,41272873894.6972,177.0,258792.949152542,244062.0,215748.81631007,48052648.49266444,1,0,0,0,0,0,0
2015-02-07,0.025383984904384427,0.052120141395420205,0.007067477454477,0.005526814664860602,-0.04012712037040522,0.06231013230117011,0.04761417947471447,6356.04,4198796611.552759,0.041376873992625365,0.029733722382720623,0.04153938017506175,0.029246885764518,0.052883736768058805,0.07155549550854252,0.03450794043169372,0.050815740406954316,7.019737758359722,85768.0,3975.0,2698.1988750518103,0.0228647127410871,195430.0,41272873894.6972,159.0,285232.257861635,205968.0,174842.11615084,39977147.60832742,0,0,1,0,0,0,0
2015-02-08,-0.019523588325571772,0.005860396578812654,0.03259655306984843,-0.012456110871094772,-0.01399677366071117,-0.059650708695976995,0.042786543975598335,5456.94,4197899249.498712,0.058286749596765275,0.024852891457662743,0.029733722382720623,0.04153938017506175,0.029246885764518,0.052883736768058805,0.07155549550854252,0.03450794043169372,0.1317219596710404,83307.0,3300.0,2654.944443521681,0.0224035988895383,293810.0,41272873894.6972,132.0,409999.189393939,366739.0,191665.51433767,42939973.0417821,0,0,0,1,0,0,0
2015-02-09,-0.015598976701277856,-0.03512256502684963,-0.009738580122465201,0.016997576368570577,-0.028055087572372628,-0.029595750361989026,-0.07524968539725485,19478.94,4194878607.6824217,0.049842400054423044,0.03501467586256081,0.024852891457662743,0.029733722382720623,0.04153938017506175,0.029246885764518,0.052883736768058805,0.07155549550854252,4.772978410521718,104895.0,4025.0,3303.368036222303,0.0220768493863238,232450.0,42557751126.9768,161.0,369961.527950311,262050.0,232125.59530148,51246018.061815254,0,1,0,0,0,0,0
